year,end_age
1960,74.8
1965,75.5
1970,75.5
1975,74.69999999999999
1980,73.5
1985,74.60000000000001
1990,76.7
1993,77.1
1995,76.3
2001,76.7
2002,77.2
2003,77.7
2004,77.9
2005,78.3
2006,78.5
2007,78.6
2008,79.3
2009,79.7
2010,80.3
2011,80.0
2012,80.9
2013,81.3
2014,81.3
2015,81.6
2016,81.6
2017,82.1
2018,82.2
2019,82.2
2020,82.6
