district_code,district_name,total_population,personnel,personnel_per_1000
07335,"Kaiserslautern, Landkreis",106343.0,814.0,7.65
07336,"Kusel, Landkreis",69334.0,606.0,8.74
07337,"Südliche Weinstraße, Landkreis",113031.0,503.0,4.45
07338,Rhein-Pfalz-Kreis,155882.0,1064.0,6.83
07339,"Mainz-Bingen, Landkreis",206454.0,1494.0,7.24
07340,"Südwestpfalz, Landkreis",89974.0,608.0,6.76
08111,"Stuttgart, kreisfreie Stadt",612663.0,5220.0,8.52
08115,"Böblingen, Landkreis",395167.0,3226.0,8.16
08116,"Esslingen, Landkreis",536601.0,4437.0,8.27
08117,"Göppingen, Landkreis",258809.0,2813.0,10.87
08118,"Ludwigsburg, Landkreis",535374.0,4862.0,9.08
08119,Rems-Murr-Kreis,440696.0,4029.0,9.14
08121,"Heilbronn, kreisfreie Stadt",131986.0,1534.0,11.62
08125,"Heilbronn, Landkreis",353877.0,3136.0,8.86
08126,Hohenlohekreis,115644.0,1116.0,9.65
08127,"Schwäbisch Hall, Landkreis",200902.0,2044.0,10.17
08128,Main-Tauber-Kreis,133169.0,1850.0,13.89
08135,"Heidenheim, Landkreis",135235.0,1353.0,10.0
08136,Ostalbkreis,317427.0,3294.0,10.38
08211,"Baden-Baden, kreisfreie Stadt",56881.0,743.0,13.06
08212,"Karlsruhe, kreisfreie Stadt",309050.0,2735.0,8.85
08215,"Karlsruhe, Landkreis",456264.0,4359.0,9.55
08216,"Rastatt, Landkreis",230737.0,1967.0,8.52
08221,"Heidelberg, kreisfreie Stadt",155756.0,1459.0,9.37
08222,"Mannheim, kreisfreie Stadt",318035.0,2653.0,8.34
08225,Neckar-Odenwald-Kreis,145263.0,1897.0,13.06
08226,Rhein-Neckar-Kreis,558561.0,4523.0,8.1
08231,"Pforzheim, kreisfreie Stadt",134912.0,1416.0,10.5
08235,"Calw, Landkreis",161251.0,2151.0,13.34
08236,Enzkreis,199745.0,2311.0,11.57
08237,"Freudenstadt, Landkreis",121958.0,1515.0,12.42
08311,"Freiburg im Breisgau, kreisfreie Stadt",237460.0,2379.0,10.02
08315,"Breisgau-Hochschwarzwald, Landkreis",272558.0,2481.0,9.1
08316,"Emmendingen, Landkreis",169787.0,1769.0,10.42
08317,Ortenaukreis,444858.0,5846.0,13.14
08325,"Rottweil, Landkreis",140237.0,1501.0,10.7
08326,Schwarzwald-Baar-Kreis,214065.0,2405.0,11.23
08327,"Tuttlingen, Landkreis",145208.0,1388.0,9.56
08335,"Konstanz, Landkreis",291841.0,2981.0,10.21
08336,"Lörrach, Landkreis",238263.0,2022.0,8.49
08337,"Waldshut, Landkreis",171579.0,1574.0,9.17
08415,"Reutlingen, Landkreis",293483.0,2465.0,8.4
08416,"Tübingen, Landkreis",233546.0,1842.0,7.89
08417,Zollernalbkreis,193326.0,1943.0,10.05
08421,"Ulm, kreisfreie Stadt",129882.0,1276.0,9.82
08425,Alb-Donau-Kreis,202354.0,1755.0,8.67
08426,"Biberach, Landkreis",207415.0,1773.0,8.55
08435,Bodenseekreis,220804.0,1898.0,8.6
08436,"Ravensburg, Landkreis",291102.0,2660.0,9.14
08437,"Sigmaringen, Landkreis",132167.0,1159.0,8.77
09161,"Ingolstadt, kreisfreie Stadt",141185.0,990.0,7.01
09162,"München, kreisfreie Stadt",1505005.0,6644.0,4.41
09163,"Rosenheim, kreisfreie Stadt",65274.0,375.0,5.75
09171,"Altötting, Landkreis",113938.0,1387.0,12.17
09172,"Berchtesgadener Land, Landkreis",105292.0,1121.0,10.65
09173,"Bad Tölz-Wolfratshausen, Landkreis",130248.0,983.0,7.55
09174,"Dachau, Landkreis",153595.0,1055.0,6.87
09175,"Ebersberg, Landkreis",144225.0,1181.0,8.19
09176,"Eichstätt, Landkreis",135668.0,868.0,6.4
09177,"Erding, Landkreis",140127.0,933.0,6.66
09178,"Freising, Landkreis",184564.0,845.0,4.58
09179,"Fürstenfeldbruck, Landkreis",218227.0,1554.0,7.12
09180,"Garmisch-Partenkirchen, Landkreis",89296.0,437.0,4.89
09181,"Landsberg am Lech, Landkreis",122107.0,750.0,6.14
09182,"Miesbach, Landkreis",97152.0,610.0,6.28
09183,"Mühldorf am Inn, Landkreis",122037.0,1458.0,11.95
09184,"München, Landkreis",354396.0,2714.0,7.66
