district_code,district_name,total_population,personnel,personnel_per_1000
12065,"Oberhavel, Landkreis",217690.0,1689.0,7.76
12066,"Oberspreewald-Lausitz, Landkreis",107793.0,1207.0,11.2
12067,"Oder-Spree, Landkreis",179817.0,1654.0,9.2
12068,"Ostprignitz-Ruppin, Landkreis",99152.0,826.0,8.33
12069,"Potsdam-Mittelmark, Landkreis",221268.0,1349.0,6.1
12070,"Prignitz, Landkreis",75595.0,905.0,11.97
12071,"Spree-Neiße, Landkreis",109635.0,1019.0,9.29
12072,"Teltow-Fläming, Landkreis",177688.0,1495.0,8.41
12073,"Uckermark, Landkreis",117432.0,1001.0,8.52
13001,"Greifswald, kreisfreie Stadt (bis 03.09.2011)",0.0,,
13002,"Neubrandenburg, kreisfreie Stadt (bis 03.09.2011)",0.0,,
13003,"Rostock, kreisfreie Stadt",205307.0,2109.0,10.27
13004,"Schwerin, kreisfreie Stadt",98308.0,1491.0,15.17
13005,"Stralsund, kreisfreie Stadt (bis 03.09.2011)",0.0,,
13006,"Wismar, kreisfreie Stadt (bis 03.09.2011)",0.0,,
13051,"Bad Doberan, Landkreis (bis 03.09.2011)",0.0,,
13052,"Demmin, Landkreis (bis 03.09.2011)",0.0,,
13053,"Güstrow, Landkreis (bis 03.09.2011)",0.0,,
13054,"Ludwigslust, Landkreis (bis 03.09.2011)",0.0,,
13055,"Mecklenburg-Strelitz, Landkreis (bis 03.09.2011)",0.0,,
13056,"Müritz, Landkreis (bis 03.09.2011)",0.0,,
13057,"Nordvorpommern, Landkreis (bis 03.09.2011)",0.0,,
13058,"Nordwestmecklenburg, Landkreis (bis 03.09.2011)",0.0,,
13059,"Ostvorpommern, Landkreis (bis 03.09.2011)",0.0,,
13060,"Parchim, Landkreis (bis 03.09.2011)",0.0,,
13061,"Rügen, Landkreis (bis 03.09.2011)",0.0,,
13062,"Uecker-Randow, Landkreis (bis 03.09.2011)",0.0,,
13071,"Mecklenburgische Seenplatte, Landkreis",246318.0,3300.0,13.4
13072,"Rostock, Landkreis",218721.0,2310.0,10.56
13073,"Vorpommern-Rügen, Landkreis",215203.0,2244.0,10.43
13074,"Nordwestmecklenburg, Landkreis",156692.0,1698.0,10.84
13075,"Vorpommern-Greifswald, Landkreis",224956.0,2487.0,11.06
13076,"Ludwigslust-Parchim, Landkreis",208092.0,2232.0,10.73
14161,"Chemnitz, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14166,"Plauen, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14167,"Zwickau, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14171,"Annaberg, Landkreis (bis 31.07.2008)",0.0,,
14173,"Chemnitzer Land, Landkreis (bis 31.07.2008)",0.0,,
14177,"Freiberg, Landkreis (bis 31.07.2008)",0.0,,
14178,Vogtlandkreis (bis 31.07.2008),0.0,,
14181,Mittlerer Erzgebirgskreis (bis 31.07.2008),0.0,,
14182,"Mittweida, Landkreis (bis 31.07.2008)",0.0,,
14188,"Stollberg, Landkreis (bis 31.07.2008)",0.0,,
14191,"Aue-Schwarzenberg, Landkreis (bis 31.07.2008)",0.0,,
14193,"Zwickauer Land, Landkreis (bis 31.07.2008)",0.0,,
14262,"Dresden, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14263,"Görlitz, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14264,"Hoyerswerda, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14272,"Bautzen, Landkreis (bis 31.07.2008)",0.0,,
14280,"Meißen, Landkreis (bis 31.07.2008)",0.0,,
14284,Niederschlesischer Oberlausitzkreis (b.31.07.2008),0.0,,
14285,"Riesa-Großenhain, Landkreis (bis 31.07.2008)",0.0,,
14286,"Löbau-Zittau, Landkreis (bis 31.07.2008)",0.0,,
14287,"Sächsische Schweiz, Landkreis (bis 31.07.2008)",0.0,,
14290,Weißeritzkreis (bis 31.07.2008),0.0,,
14292,"Kamenz, Landkreis (bis 31.07.2008)",0.0,,
14365,"Leipzig, kreisfreie Stadt (bis 31.07.2008)",0.0,,
14374,"Delitzsch, Landkreis (bis 31.07.2008)",0.0,,
14375,"Döbeln, Landkreis (bis 31.07.2008)",0.0,,
14379,"Leipziger Land, Landkreis (bis 31.07.2008)",0.0,,
14383,Muldentalkreis (bis 31.07.2008),0.0,,
14389,"Torgau-Oschatz, Landkreis (bis 31.07.2008)",0.0,,
14511,"Chemnitz, kreisfreie Stadt",245618.0,2918.0,11.88
14521,Erzgebirgskreis,318394.0,5128.0,16.11
14522,"Mittelsachsen, Landkreis",296431.0,3975.0,13.41
14523,Vogtlandkreis,219100.0,2801.0,12.78
14524,"Zwickau, Landkreis",306793.0,3855.0,12.57
14612,"Dresden, kreisfreie Stadt",564904.0,4999.0,8.85
14625,"Bautzen, Landkreis",292608.0,3517.0,12.02
14626,"Görlitz, Landkreis",243958.0,3540.0,14.51
14627,"Meißen, Landkreis",239221.0,2458.0,10.28
14628,"Sächsische Schweiz-Osterzgebirge, Landkreis",243996.0,2964.0,12.15
14713,"Leipzig, kreisfreie Stadt",611850.0,5178.0,8.46
14729,"Leipzig, Landkreis",260127.0,2670.0,10.26
14730,"Nordsachsen, Landkreis",199422.0,2319.0,11.63
15001,"Dessau-Roßlau, kreisfreie Stadt",75402.0,1178.0,15.62
15002,"Halle (Saale), kreisfreie Stadt",226767.0,2073.0,9.14
15003,"Magdeburg, kreisfreie Stadt",244329.0,2759.0,11.29
15081,Altmarkkreis Salzwedel,79980.0,911.0,11.39
15082,"Anhalt-Bitterfeld, Landkreis",153035.0,1891.0,12.36
15083,"Börde, Landkreis",167924.0,1891.0,11.26
15084,Burgenlandkreis,173684.0,2156.0,12.41
15085,"Harz, Landkreis",205484.0,2910.0,14.16
15086,"Jerichower Land, Landkreis",88509.0,1293.0,14.61
15087,"Mansfeld-Südharz, Landkreis",129029.0,1861.0,14.42
15088,Saalekreis,182451.0,1381.0,7.57
15089,Salzlandkreis,180771.0,2549.0,14.1
15090,"Stendal, Landkreis",106538.0,1355.0,12.72
15091,"Wittenberg, Landkreis",121694.0,1295.0,10.64
15101,"Dessau, kreisfreie Stadt (bis 30.06.2007)",0.0,,
15151,"Anhalt-Zerbst, Landkreis (bis 30.06.2007)",0.0,,
15153,"Bernburg, Landkreis (bis 30.06.2007)",0.0,,
15154,"Bitterfeld, Landkreis (bis 30.06.2007)",0.0,,
15159,"Köthen, Landkreis (bis 30.06.2007)",0.0,,
15171,"Wittenberg, Landkreis (bis 30.06.2007)",0.0,,
15202,"Halle (Saale), kreisfreie Stadt (bis 30.06.2007)",0.0,,
15256,Burgenlandkreis (bis 30.06.2007),0.0,,
15260,"Mansfelder Land, Landkreis (bis 30.06.2007)",0.0,,
15261,"Merseburg-Querfurt, Landkreis (bis 30.06.2007)",0.0,,
15265,Saalkreis (bis 30.06.2007),0.0,,
15266,"Sangerhausen, Landkreis (bis 30.06.2007)",0.0,,
15268,"Weißenfels, Landkreis (bis 30.06.2007)",0.0,,
15303,"Magdeburg, kreisfreie Stadt (bis 30.06.2007)",0.0,,
15352,"Aschersleben-Staßfurt, Landkreis (bis 30.06.2007)",0.0,,
15355,Bördekreis (bis 30.06.2007),0.0,,
15357,"Halberstadt, Landkreis (bis 30.06.2007)",0.0,,
15358,"Jerichower Land, Landkreis (bis 30.06.2007)",0.0,,
15362,Ohrekreis (bis 30.06.2007),0.0,,
15363,"Stendal, Landkreis (bis 30.06.2007)",0.0,,
15364,"Quedlinburg, Landkreis (bis 30.06.2007)",0.0,,
15367,"Schönebeck, Landkreis (bis 30.06.2007)",0.0,,
15369,"Wernigerode, Landkreis (bis 30.06.2007)",0.0,,
15370,Altmarkkreis Salzwedel (bis 30.06.2007),0.0,,
16051,"Erfurt, kreisfreie Stadt",218793.0,1995.0,9.12
