district_code,district_name,total_population,available_beds,beds_per_1000
05515,"Münster, kreisfreie Stadt",308258.0,3021.0,9.8
05554,"Borken, Landkreis",380796.0,3974.0,10.44
05558,"Coesfeld, Landkreis",227859.0,2894.0,12.7
05562,"Recklinghausen, Landkreis",621305.0,7783.0,12.53
05566,"Steinfurt, Landkreis",451712.0,5021.0,11.12
05570,"Warendorf, Landkreis",282639.0,3207.0,11.35
05711,"Bielefeld, kreisfreie Stadt",331605.0,3282.0,9.9
05754,"Gütersloh, Landkreis",363982.0,3434.0,9.43
05758,"Herford, Landkreis",254404.0,2913.0,11.45
05762,"Höxter, Landkreis",139252.0,1813.0,13.02
05766,"Lippe, Landkreis",347149.0,4308.0,12.41
05770,"Minden-Lübbecke, Landkreis",320557.0,4310.0,13.45
05774,"Paderborn, Landkreis",315912.0,3159.0,10.0
05911,"Bochum, kreisfreie Stadt",358676.0,4118.0,11.48
05913,"Dortmund, kreisfreie Stadt",603462.0,6376.0,10.57
05914,"Hagen, kreisfreie Stadt",190384.0,2393.0,12.57
05915,"Hamm, kreisfreie Stadt",179968.0,1983.0,11.02
05916,"Herne, kreisfreie Stadt",155851.0,2404.0,15.42
05954,Ennepe-Ruhr-Kreis,314167.0,4192.0,13.34
05958,Hochsauerlandkreis,260843.0,3146.0,12.06
05962,Märkischer Kreis,408046.0,4884.0,11.97
05966,"Olpe, Landkreis",132346.0,1438.0,10.87
05970,"Siegen-Wittgenstein, Landkreis",274074.0,2672.0,9.75
05974,"Soest, Landkreis",300297.0,3845.0,12.8
05978,"Unna, Landkreis",393784.0,4740.0,12.04
06411,"Darmstadt, kreisfreie Stadt",167029.0,1285.0,7.69
06412,"Frankfurt am Main, kreisfreie Stadt",756021.0,5148.0,6.81
06413,"Offenbach am Main, kreisfreie Stadt",132746.0,1019.0,7.68
06414,"Wiesbaden, kreisfreie Stadt",288850.0,2579.0,8.93
06431,"Bergstraße, Landkreis",274169.0,3248.0,11.85
06432,"Darmstadt-Dieburg, Landkreis",302021.0,2463.0,8.16
06433,"Groß-Gerau, Landkreis",268310.0,2199.0,8.2
06434,Hochtaunuskreis,241664.0,2614.0,10.82
06435,Main-Kinzig-Kreis,420914.0,4537.0,10.78
06436,Main-Taunus-Kreis,238775.0,1707.0,7.15
06437,Odenwaldkreis,93846.0,1439.0,15.33
06438,"Offenbach, Landkreis",358022.0,3045.0,8.51
06439,Rheingau-Taunus-Kreis,185651.0,1926.0,10.37
06440,Wetteraukreis,311593.0,4293.0,13.78
06531,"Gießen, Landkreis",268418.0,3043.0,11.34
06532,Lahn-Dill-Kreis,254074.0,3507.0,13.8
06533,"Limburg-Weilburg, Landkreis",173830.0,2232.0,12.84
06534,"Marburg-Biedenkopf, Landkreis",242805.0,2704.0,11.14
06535,Vogelsbergkreis,101163.0,1561.0,15.43
06611,"Kassel, kreisfreie Stadt",197230.0,2073.0,10.51
06631,"Fulda, Landkreis",222283.0,3194.0,14.37
06632,"Hersfeld-Rotenburg, Landkreis",117414.0,1785.0,15.2
06633,"Kassel, Landkreis",231073.0,3675.0,15.9
06634,Schwalm-Eder-Kreis,180071.0,2661.0,14.78
06635,"Waldeck-Frankenberg, Landkreis",155126.0,2719.0,17.53
06636,Werra-Meißner-Kreis,97695.0,1715.0,17.55
07111,"Koblenz, kreisfreie Stadt",113378.0,1864.0,16.44
07131,"Ahrweiler, Landkreis",129353.0,1366.0,10.56
07132,"Altenkirchen (Westerwald), Landkreis",132125.0,1590.0,12.03
07133,"Bad Kreuznach, Landkreis",164748.0,1749.0,10.62
07134,"Birkenfeld, Landkreis",82611.0,1163.0,14.08
07135,"Cochem-Zell, Landkreis",61608.0,942.0,15.29
07137,"Mayen-Koblenz, Landkreis",217228.0,2537.0,11.68
07138,"Neuwied, Landkreis",189061.0,2207.0,11.67
07140,Rhein-Hunsrück-Kreis,106705.0,1284.0,12.03
07141,Rhein-Lahn-Kreis,125588.0,1433.0,11.41
07143,Westerwaldkreis,207803.0,2635.0,12.68
07211,"Trier, kreisfreie Stadt",104342.0,1212.0,11.62
07231,"Bernkastel-Wittlich, Landkreis",113187.0,1358.0,12.0
07232,Eifelkreis Bitburg-Prüm,99788.0,1094.0,10.96
07233,"Vulkaneifel, Landkreis",59313.0,799.0,13.47
07235,"Trier-Saarburg, Landkreis",148953.0,1678.0,11.27
07311,"Frankenthal (Pfalz), kreisfreie Stadt",48140.0,640.0,13.29
07312,"Kaiserslautern, kreisfreie Stadt",100426.0,1160.0,11.55
