district_code,district_name,hospital_drive
06431,"Bergstraße, Landkreis",15.5724558019929
06432,"Darmstadt-Dieburg, Landkreis",12.8425028835063
06433,"Groß-Gerau, Landkreis",11.4617537746806
06434,Hochtaunuskreis,11.1635606820461
06435,Main-Kinzig-Kreis,15.1858497833414
06436,Main-Taunus-Kreis,10.2936206896552
06437,Odenwaldkreis,17.1045533558667
06438,"Offenbach, Landkreis",10.0115453116815
06439,Rheingau-Taunus-Kreis,14.5754553775744
06440,Wetteraukreis,12.8733223782492
06531,"Gießen, Landkreis",12.3482577319588
06532,Lahn-Dill-Kreis,13.0676360495249
06533,"Limburg-Weilburg, Landkreis",13.3530451415455
06534,"Marburg-Biedenkopf, Landkreis",17.3543249176729
06535,Vogelsbergkreis,15.6352373995617
06611,"Kassel, kreisfreie Stadt",5.96983706720978
06631,"Fulda, Landkreis",15.2840916236245
06632,"Hersfeld-Rotenburg, Landkreis",15.7563984375
06633,"Kassel, Landkreis",13.0806425591099
06634,Schwalm-Eder-Kreis,13.4458320610687
06635,"Waldeck-Frankenberg, Landkreis",12.2998029682702
06636,Werra-Meißner-Kreis,12.4530688294608
07111,"Koblenz, kreisfreie Stadt",6.10384397163121
07131,"Ahrweiler, Landkreis",12.8283235046335
07132,"Altenkirchen (Westerwald), Landkreis",13.2132308190353
07133,"Bad Kreuznach, Landkreis",15.8760885311871
07134,"Birkenfeld, Landkreis",19.8527886136004
07135,"Cochem-Zell, Landkreis",15.815970437018
07137,"Mayen-Koblenz, Landkreis",12.6483522142122
07138,"Neuwied, Landkreis",9.86882047958522
07140,Rhein-Hunsrück-Kreis,13.8194743429287
07141,Rhein-Lahn-Kreis,13.9561852166525
07143,Westerwaldkreis,12.2104108108108
07211,"Trier, kreisfreie Stadt",7.52439374185137
07231,"Bernkastel-Wittlich, Landkreis",15.6965688822874
07232,Eifelkreis Bitburg-Prüm,18.8766734693878
07233,"Vulkaneifel, Landkreis",14.1252734731085
07235,"Trier-Saarburg, Landkreis",13.581346911958
07311,"Frankenthal (Pfalz), kreisfreie Stadt",7.06966037735849
07312,"Kaiserslautern, kreisfreie Stadt",8.08931137724551
07313,"Landau in der Pfalz, kreisfreie Stadt",5.13957055214724
07314,"Ludwigshafen am Rhein, kreisfreie Stadt",5.67908517350158
07315,"Mainz, kreisfreie Stadt",8.00822902796272
07316,"Neustadt an der Weinstraße, kreisfreie Stadt",6.6278354978355
07317,"Pirmasens, kreisfreie Stadt",6.54217283950617
07318,"Speyer, kreisfreie Stadt",5.46845878136201
07319,"Worms, kreisfreie Stadt",9.46042047531993
07320,"Zweibrücken, kreisfreie Stadt",6.11972906403941
07331,"Alzey-Worms, Landkreis",12.2472303030303
07332,"Bad Dürkheim, Landkreis",11.5157070135747
07333,Donnersbergkreis,12.1099309912171
07334,"Germersheim, Landkreis",9.69656752411576
07335,"Kaiserslautern, Landkreis",15.3303907074974
07336,"Kusel, Landkreis",15.044772985244
07337,"Südliche Weinstraße, Landkreis",8.99007272727273
